"city_name";"mundi_code";"sc_code";"neighborhood";"district";"renta_neta_media_por_persona";"renta_neta_media_por_hogar";"media_de_la_renta_por_unidad_de_consumo";"mediana_de_la_renta_por_unidad_de_consumo";"renta_bruta_media_por_persona";"renta_bruta_media_por_hogar";"edad_media_de_la_poblacion";"porcentaje_de_poblacion_menor_de_18_anos";"porcentaje_de_poblacion_de_65_y_mas_anos";"tamano_medio_del_hogar";"porcentaje_de_hogares_unipersonales";"poblacion";"porcentaje_de_poblacion_espanola";"fuente_de_ingreso_salario";"fuente_de_ingreso_pensiones";"fuente_de_ingreso_prestaciones_por_desempleo";"fuente_de_ingreso_otras_prestaciones";"fuente_de_ingreso_otros_ingresos";"cluster"
"Barcelona";"801901001";"1001";"el Raval";"Ciutat Vella";10696;27503;15672;12950;12798;32909;41;11.9;15.9;2;39.4;1207;54.1;7242;2329;1201;564;1463;1
"Barcelona";"801901002";"1002";"el Raval";"Ciutat Vella";8362;21913;12175;9450;9727;25493;38.3;11.5;11.6;2;38.9;1350;41;5779;1566;1285;461;637;1
"Barcelona";"801901003";"1003";"el Raval";"Ciutat Vella";8531;24220;12718;10150;9932;28198;39.4;15.1;13.2;3;33.7;2941;52.3;5838;1846;1076;569;603;2
"Barcelona";"801901004";"1004";"el Raval";"Ciutat Vella";10318;27405;14945;12250;12318;32716;38.4;14.4;10.5;3;37.7;2730;51.3;7980;1601;1159;472;1106;2
"Barcelona";"801901005";"1005";"el Raval";"Ciutat Vella";9065;23014;13268;10850;10575;26850;39.9;14.5;13.6;2;38.7;2260;51.5;6415;1759;1020;638;744;1
"Barcelona";"801901006";"1006";"el Raval";"Ciutat Vella";9669;25581;14226;10850;11704;30964;39.3;12.4;12.1;2;39.4;1497;43.7;7087;1644;1129;506;1338;1
"Barcelona";"801901007";"1007";"el Raval";"Ciutat Vella";9115;25959;13370;10150;10806;30776;37.4;14.4;7.6;3;35.6;1807;44.9;7126;1055;1183;556;886;2
"Barcelona";"801901008";"1008";"el Raval";"Ciutat Vella";7140;21900;10858;8750;8167;25051;37.2;16.8;11.1;3;33.7;2935;41.8;4844;1227;1245;460;391;2
"Barcelona";"801901009";"1009";"el Raval";"Ciutat Vella";9540;24849;13941;11550;11322;29492;38.5;16.2;11.6;2;37.2;2086;48.8;6925;1892;1194;461;851;1
"Barcelona";"801901010";"1010";"el Raval";"Ciutat Vella";7544;23306;11465;9450;8760;27062;36.7;16;8.7;3;29.8;2240;41;5370;1176;1291;411;512;2
"Barcelona";"801901011";"1011";"el Raval";"Ciutat Vella";7425;21571;11081;9450;8504;24706;36.6;16.6;8.5;3;35.4;3015;42.2;5260;960;1239;566;479;2
"Barcelona";"801901012";"1012";"el Raval";"Ciutat Vella";9767;25592;14112;12250;11393;29851;39.5;14;12.4;3;38.7;1846;52;6884;1851;1260;452;945;2
"Barcelona";"801901013";"1013";"el Raval";"Ciutat Vella";10041;27908;14779;12950;11647;32372;41.8;14;15;3;31;1421;56.3;6642;2217;1293;560;934;2
"Barcelona";"801901014";"1014";"el Raval";"Ciutat Vella";9207;26078;13899;12950;10589;29992;40.2;14.3;12.8;3;33.4;1662;49.6;6371;1684;1333;495;707;2
"Barcelona";"801901015";"1015";"el Raval";"Ciutat Vella";9528;26092;14196;11550;11120;30451;38.7;15.6;11.1;3;33.2;2182;46.5;6793;1651;1354;546;776;2
"Barcelona";"801901016";"1016";"el Raval";"Ciutat Vella";8992;26151;13556;12950;10376;30176;39.1;14.9;10.7;3;32.3;2023;45.5;6614;1230;1568;394;570;2
